Method,Avg_Pearson,Avg_Spearman,Avg_Kendall,Avg_NDCG,Avg_Precision_at_1,Avg_Precision_at_3,Avg_Precision_at_5,Avg_Hit_rate_at_k,Avg_Reciprocal_rank,Num_Valid_Queries
TMC100,0.9170910030286804,0.793939393939394,0.6684444444444444,0.9587226990865525,0.74,0.8066666666666668,0.818,0.99,0.9925,100
KernelShap100,0.9532176807927377,0.7928159218396945,0.6732015094606699,0.9723942250404053,0.84,0.8233333333333333,0.8079999999999999,1.0,1.0,100
ContextCite100,0.9322525448021564,0.7815406116542999,0.6585298206634722,0.9672663531489119,0.86,0.8233333333333333,0.81,1.0,1.0,100
KernelShap64,0.9202622432350266,0.7528968222141146,0.6183678640076227,0.9673902953949701,0.79,0.79,0.782,1.0,0.995,100
ContextCite64,0.9079167969145181,0.7518256539557338,0.6173220405934152,0.9532476381276064,0.8,0.79,0.7879999999999999,1.0,0.99,100
TMC64,0.8893286659524946,0.7333333333333333,0.6039999999999999,0.949437259902291,0.78,0.76,0.772,0.99,0.9925,100
KernelShap32,0.862432312229035,0.6757216918610703,0.5429642208468546,0.9416764075806086,0.8,0.7333333333333333,0.74,1.0,0.9833333333333333,100
ContextCite32,0.8484752016650687,0.6485283890126676,0.5254538644660784,0.9234930067266219,0.73,0.7566666666666666,0.708,0.99,0.9875,100
BetaShap (U)100,0.7515041783702885,0.6246060606060605,0.49999999999999994,0.8662503859967117,0.7,0.6566666666666667,0.7140000000000001,1.0,0.985,100
TMC32,0.8006377263348101,0.5992727272727272,0.4777777777777777,0.8892677390766339,0.7,0.6733333333333333,0.718,1.0,0.995,100
BetaShap (U)64,0.7446087160092053,0.565090909090909,0.4484444444444444,0.8796584320158253,0.74,0.66,0.6659999999999999,1.0,0.985,100
BetaShap (U)32,0.6927961482175239,0.4887272727272727,0.3786666666666666,0.8329439832065395,0.66,0.6066666666666667,0.6659999999999999,1.0,0.99,100
LOO,0.6822103266463645,0.41781818181818176,0.3208888888888889,0.7998241066885032,0.76,0.5833333333333333,0.642,1.0,0.9766666666666667,100
